PHONE_TYPE,RAM_STORAGE,NAIRA_PRICE,CITY,STATE,PHONE_CONDITION
New Google Pixel 7 Pro 256 GB White,6 GB,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,6 GB,380000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 9 128 GB Blue,6 GB,135000,Alimosho,Lagos State,Used
Samsung Galaxy Note 20 5G 128GB Purple,6 GB,260000,Ikeja,Lagos State,Used
New Apple iPhone 14 Pro Max 128 GB,6 GB,900000,Ikeja,Lagos State,Brand New
Apple iPhone 11 Pro Max 256 GB Gray,6 GB,350000,Ikeja,Lagos State,Used
New RED Hydrogen One 128 GB Black,6 GB,260000,Wuse,Abuja (FCT) State,Brand New
Infinix Hot 8 32 GB,6 GB,43000,Ikorodu,Lagos State,Used
Samsung Galaxy A03 Core 32 GB Green,6 GB,53000,Ikeja,Lagos State,Used
Apple iPhone 12 Pro Max 128 GB Blue,6 GB,420000,Alimosho,Lagos State,Used
Samsung Galaxy S9 Plus 128 GB Black,6 GB,105000,Ado Ekiti,Ekiti State,Used
Tecno Camon 15 64 GB Gold,6 GB,45000,Garki 1,Abuja (FCT) State,Used
Samsung Galaxy A20s 64 GB Red,6 GB,50000,Ibadan,Oyo State,Used
Xiaomi Redmi Note 9S 128 GB Blue,6 GB,70000,Akure,Ondo State,Used
Nokia G60 128 GB Black,6 GB,165000,Ibadan,Oyo State,Used
Nokia G21 64 GB Purple,6 GB,30000,Ikeja,Lagos State,Used
Google Pixel 6a 128 GB Black,6 GB,225000,Ojodu,Lagos State,Used
Apple iPhone 12 Pro 128 GB White,6 GB,380000,Yola North,Adamawa State,Used
Infinix Hot 8 32 GB,6 GB,43000,Ikorodu,Lagos State,Used
Apple iPhone 6s 32 GB Black,6 GB,45000,Ife,Osun State,Used
Samsung Galaxy S22 Ultra 256 GB White,6 GB,580000,Ikeja,Lagos State,Used
Apple iPhone 13 Pro 128 GB Gold,6 GB,430000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 13 Pro 256 GB Gold,6 GB,310000,Ilorin West,Kwara State,Used
Samsung Galaxy Note 9 128 GB Blue,12 GB,135000,Alimosho,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,12 GB,620000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 8 128 GB Blue,12 GB,115000,Alimosho,Lagos State,Used
Apple iPhone 11 Pro 64 GB Green,12 GB,290000,Ikeja,Lagos State,Used
Apple iPhone 13 Pro Max 128 GB Gray,12 GB,680000,Ikeja,Lagos State,Used
Apple iPhone 13 128 GB Gold,12 GB,520000,Wuse,Abuja (FCT) State,Used
Apple iPhone XS Max 512 GB Black,12 GB,240000,Wuse,Abuja (FCT) State,Used
Vivo Y1s 32 GB Black,12 GB,40000,Ikeja,Lagos State,Used
Apple iPhone X 64 GB Black,12 GB,110000,Ibadan,Oyo State,Used
Apple iPhone 6s Plus 64 GB Rose Gold,12 GB,60000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone XS Max 256 GB Gold,12 GB,175000,Ibadan,Oyo State,Used
Samsung Galaxy S9 Plus 64 GB Purple,12 GB,65000,Ikeja,Lagos State,Used
Infinix Hot 12i 64 GB Blue,12 GB,85000,Ilorin West,Kwara State,Used
Infinix Hot 20S 128 GB Pink,12 GB,55000,Lekki,Lagos State,Used
New Infinix Note 12 128 GB Black,12 GB,130000,Suleja,Niger State,Brand New
Samsung Galaxy S10 128 GB Blue,12 GB,130000,Osogbo,Osun State,Used
New Google Pixel 7 128 GB Black,12 GB,360000,Ojodu,Lagos State,Brand New
Apple iPhone 13 128 GB Blue,12 GB,400000,Wuse 2,Abuja (FCT) State,Used
Tecno Camon 19 128 GB Gray,12 GB,90000,Lekki,Lagos State,Used
Apple iPhone 11 Pro 256 GB Gold,12 GB,250000,Oluyole,Oyo State,Used
Google Pixel 6a 128 GB White,12 GB,260000,Ikotun/Igando,Lagos State,Used
New Google Pixel 7 Pro 256 GB Gray,12 GB,550000,Ikeja,Lagos State,Brand New
New Samsung Galaxy S21 Ultra 5G 512 GB Black,12 GB,605000,Ikeja,Lagos State,Brand New
New Google Pixel 7 Pro 256 GB White,12 GB,620000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 9 128 GB Blue,12 GB,135000,Alimosho,Lagos State,Used
New Google Pixel 7 128 GB Black,12 GB,380000,Ikeja,Lagos State,Brand New
Apple iPhone 11 128 GB White,12 GB,255000,Ikeja,Lagos State,Used
Apple iPhone XR 128 GB Red,12 GB,180000,Onitsha,Anambra State,Used
Apple iPhone 11 Pro Max 256 GB Black,12 GB,350000,Ikeja,Lagos State,Used
Apple iPhone 12 128 GB Blue,12 GB,390000,Wuse,Abuja (FCT) State,Used
New Samsung Galaxy S21 Ultra 5G 256 GB Black,12 GB,460000,Owerri,Imo State,Brand New
Apple iPhone 7 Plus 128 GB White,12 GB,95000,Eket,Akwa Ibom State,Used
Apple iPhone 6s Plus 16 GB Gold,12 GB,60000,Osogbo,Osun State,Used
Apple iPhone XS Max 512 GB Black,12 GB,250000,Ajah,Lagos State,Used
Samsung Galaxy S9 Plus 256 GB Purple,12 GB,140000,Onitsha,Anambra State,Used
Tecno Camon 11 32 GB Red,12 GB,30000,Onitsha,Anambra State,Used
Tecno Camon 11 32 GB,12 GB,30000,Awka,Anambra State,Used
Apple iPhone 7 Plus 128 GB,12 GB,90000,Ikeja,Lagos State,Used
Apple iPhone X 64 GB White,12 GB,135000,Benin City,Edo State,Used
Xiaomi Redmi Note 10 Pro 128 GB Gray,12 GB,150000,Ibadan,Oyo State,Used
Apple iPhone 12 128 GB Green,12 GB,250000,Warri,Delta State,Used
Apple iPhone XR 64 GB Red,12 GB,140000,Osogbo,Osun State,Used
Apple iPhone XS Max 64 GB Gold,12 GB,135000,Ikeja,Lagos State,Used
Apple iPhone 6s 32 GB Silver,12 GB,55000,Ibadan,Oyo State,Used
Samsung Galaxy Note 8 64 GB Black,12 GB,98000,Ikeja,Lagos State,Used
New Samsung Galaxy S21 Ultra 5G 256 GB Bronze,12 GB,490000,Ikeja,Lagos State,Brand New
New Google Pixel 7 Pro 256 GB White,12 GB,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,12 GB,380000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 9 128 GB Blue,12 GB,135000,Alimosho,Lagos State,Used
Apple iPhone 11 64 GB Orange,12 GB,245000,Ikeja,Lagos State,Used
Apple iPhone 11 Pro Max 64 GB Green,12 GB,295000,Ikeja,Lagos State,Used
Apple iPhone 12 Pro 128 GB Green,12 GB,430000,Wuse,Abuja (FCT) State,Used
Samsung Galaxy Z Fold4 256 GB Silver,12 GB,1000000,Wuse,Abuja (FCT) State,Used
OnePlus 9R 256 GB Black,12 GB,300000,Lugbe District,Abuja (FCT) State,Used
Infinix Hot 8 Lite 32 GB Purple,12 GB,45000,Bwari,Abuja (FCT) State,Used
New Apple iPhone 13 Mini 128 GB Blue,12 GB,340000,Ikeja,Lagos State,Brand New
Itel P37 32 GB Blue,12 GB,45000,Akure,Ondo State,Used
New Apple iPhone 13 Pro Max 256 GB Blue,12 GB,500000,Wuse 2,Abuja (FCT) State,Brand New
Tecno Camon 19 128 GB Blue,12 GB,115000,Awka,Anambra State,Used
Nokia C10 32 GB Black,12 GB,50000,Ikeja,Lagos State,Used
Apple iPhone XR 64 GB Red,12 GB,175000,Benin City,Edo State,Used
Honor 8 Lite Dual SIM 32 GB White,12 GB,36000,Nasarawa-Kano,Kano State,Used
Apple iPhone 11 Pro 64 GB Gold,12 GB,265000,Kubwa,Abuja (FCT) State,Used
Honor 8 Lite Dual SIM 32 GB Black,12 GB,36000,Nasarawa-Kano,Kano State,Used
Xiaomi Redmi Note 4X 32 GB Black,12 GB,23000,Nasarawa-Kano,Kano State,Refurbished
Xiaomi Redmi Note 4X 32 GB Gold,12 GB,23000,Nasarawa-Kano,Kano State,Refurbished
Apple iPhone 13 Pro 128 GB Blue,12 GB,650000,Wuse 2,Abuja (FCT) State,Used
Xiaomi Redmi 10 128 GB,12 GB,120000,Awka,Anambra State,Used
Vivo Y53s 128 GB Blue,12 GB,115000,Wuse 2,Abuja (FCT) State,Used
New Google Pixel 7 Pro 256 GB White,4 GB,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,4 GB,380000,Ikeja,Lagos State,Brand New
New Apple iPhone 14 256 GB Purple,4 GB,580000,Ikeja,Lagos State,Brand New
Apple iPhone 12 Pro Max 128 GB Blue,4 GB,485000,Ikeja,Lagos State,Used
Apple iPhone 8 64 GB Red,4 GB,99000,Ikeja,Lagos State,Used
Samsung Galaxy Z Fold 3 256 GB Black,4 GB,600000,Ikeja,Lagos State,Used
New Samsung Galaxy S10 128 GB Purple,4 GB,158000,Ikeja,Lagos State,Brand New
Apple iPhone 7 Plus 32 GB Gold,4 GB,80000,Kosofe,Lagos State,Used
Apple iPhone XR 128 GB Red,4 GB,175000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 13 128 GB Blue,4 GB,445000,Wuse 2,Abuja (FCT) State,Used
Gionee S11 Lite 32 GB Blue,4 GB,37000,Wuse,Abuja (FCT) State,Used
Apple iPhone 11 64 GB Blue,4 GB,170000,Minna,Niger State,Used
New Nokia 2.4 32 GB Black,4 GB,48000,Wuse 2,Abuja (FCT) State,Brand New
Tecno Spark 7P 64 GB Gray,4 GB,65000,Ilorin East,Kwara State,Used
Apple iPhone 12 Pro 128 GB Gold,4 GB,410000,Wuse 2,Abuja (FCT) State,Used
Tecno Camon 17P 128 GB Gray,4 GB,90000,Awka,Anambra State,Used
Google Pixel 3 64 GB Black,4 GB,67000,Ibadan,Oyo State,Used
Sony Ericsson K300 Blue,4 GB,100000,Udu,Delta State,Used
Apple iPhone 7 Plus 128 GB Gold,4 GB,105000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone X 64 GB White,4 GB,135000,Wuse 2,Abuja (FCT) State,Used
Tecno Spark 3 Pro 32 GB White,4 GB,37000,Onitsha,Anambra State,Used
Tecno Camon 17P 128 GB Silver,4 GB,90000,Onitsha,Anambra State,Used
Apple iPhone XS 64 GB Gold,4 GB,140000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone XR 128 GB White,4 GB,205000,Ikeja,Lagos State,Used
Samsung Galaxy Note 9 128 GB Blue,4 GB,135000,Alimosho,Lagos State,Used
Samsung Galaxy Note 8 128 GB Blue,4 GB,115000,Alimosho,Lagos State,Used
Apple iPhone 7 Plus 32 GB White,4 GB,100000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Purple,4 GB,260000,Ikeja,Lagos State,Used
Apple iPhone 13 Pro 128 GB Blue,4 GB,660000,Wuse,Abuja (FCT) State,Used
Apple iPhone 12 64 GB Black,4 GB,300000,Egbe Idimu,Lagos State,Used
New Samsung Galaxy A53 5G 128 GB Black,4 GB,280000,Ugheli,Delta State,Brand New
New Tecno Camon 19 128 GB Silver,4 GB,120000,Nsukka,Enugu State,Brand New
Vivo V20 128 GB Blue,4 GB,62000,Obio-Akpor,Rivers State,Used
Apple iPhone 12 Pro Max 128 GB Black,4 GB,485000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 11 Pro Max 256 GB Gold,4 GB,250000,Mushin,Lagos State,Used
Apple iPhone 6 Plus 64 GB Gold,4 GB,60000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 13 128 GB White,4 GB,550000,Aba North,Abia State,Used
Apple iPhone XR 64 GB Red,4 GB,158000,Wuse 2,Abuja (FCT) State,Used
Mobile Phone 64 GB Gold,4 GB,75000,Onitsha,Anambra State,Used
Apple iPhone 12 64 GB Blue,4 GB,255000,Surulere,Lagos State,Used
Apple iPhone 11 Pro Max 256 GB Gold,4 GB,380000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 6s Plus 16 GB,4 GB,55000,Ado-Odo/Ota,Ogun State,Used
Tecno Camon 18i 128 GB Blue,4 GB,77000,Awka,Anambra State,Used
Apple iPhone 12 Pro 128 GB Yellow,4 GB,385000,Wuse 2,Abuja (FCT) State,Used
Nokia G20 64 GB Gray,4 GB,65000,Ilorin West,Kwara State,Used
Tecno Camon 16 128 GB Silver,4 GB,75000,Awka,Anambra State,Used
New Google Pixel 7 Pro 256 GB White,2 GB,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,2 GB,380000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 9 128 GB Blue,2 GB,135000,Alimosho,Lagos State,Used
Apple iPhone 8 Plus 64 GB Gold,2 GB,135000,Ikeja,Lagos State,Used
Apple iPhone X 64 GB Silver,2 GB,155000,Ikeja,Lagos State,Used
New Apple iPhone 14 Pro Max 128 GB Gold,2 GB,570000,Ikeja,Lagos State,Brand New
New Apple iPhone 13 128 GB,2 GB,480000,Ikeja,Lagos State,Brand New
Infinix Note 12i 128 GB White,2 GB,115000,Apapa,Lagos State,Used
Xiaomi Redmi Note 10S 128 GB Gray,2 GB,110000,Ibeju,Lagos State,Used
New Apple iPhone 13 Pro Max 128 GB White,2 GB,650000,Wuse 2,Abuja (FCT) State,Brand New
Tecno Spark 3 Pro 32 GB Rose Gold,2 GB,37000,Awka,Anambra State,Used
Apple iPhone 12 Pro 256 GB Blue,2 GB,475000,Osogbo,Osun State,Used
Tecno Camon 18 128 GB Green,2 GB,85000,Port-Harcourt,Rivers State,Used
Apple iPhone 11 128 GB Purple,2 GB,245000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 11 Pro 256 GB Gold,2 GB,350000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone XS Max 256 GB Gold,2 GB,240000,Wuse 2,Abuja (FCT) State,Used
New Apple iPhone 13 Pro 128 GB Green,2 GB,630000,Warri,Delta State,Brand New
Apple iPhone 7 128 GB Black,2 GB,70000,Osogbo,Osun State,Used
Apple iPhone 6s 16 GB Gray,2 GB,45000,Oshimili South,Delta State,Used
Tecno Camon 18i 128 GB Silver,2 GB,77000,Onitsha,Anambra State,Used
Apple iPhone XR 64 GB Blue,2 GB,160000,Wuse 2,Abuja (FCT) State,Used
Motorola Moto G6 32 GB Black,2 GB,20000,Ikeja,Lagos State,Used
Tecno Spark 4 32 GB Blue,2 GB,42000,Ilorin West,Kwara State,Used
New Google Pixel 7 Pro 256 GB White,4 GB,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,4 GB,380000,Ikeja,Lagos State,Brand New
New Apple iPhone 14 256 GB Purple,4 GB,580000,Ikeja,Lagos State,Brand New
Apple iPhone XR 64 GB White,4 GB,169000,Ikeja,Lagos State,Used
Apple iPhone 11 128 GB Blue,4 GB,265000,Ikeja,Lagos State,Used
New Apple iPhone 14 Pro Max 256 GB Purple,4 GB,650000,Ikeja,Lagos State,Brand New
New Apple iPhone 14 512 GB,4 GB,600000,Ikeja,Lagos State,Brand New
Apple iPhone 13 128 GB Blue,4 GB,460000,Ikeja,Lagos State,Used
Oppo R15 128 GB Blue,4 GB,60000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Red,4 GB,190000,Ikotun/Igando,Lagos State,Used
Apple iPhone 11 Pro Max 64 GB Black,4 GB,345000,Wuse 2,Abuja (FCT) State,Used
Samsung Galaxy A71 128 GB Green,4 GB,110000,Wuse 2,Abuja (FCT) State,Used
Infinix Zero X 128 GB Silver,4 GB,120000,Awka,Anambra State,Used
Samsung Galaxy A32 128 GB Black,4 GB,110000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 8 64 GB Black,4 GB,75000,Central Business District,Abuja (FCT) State,Used
New Apple iPhone 13 Pro Max 128 GB Blue,4 GB,725000,Ibadan,Oyo State,Brand New
Apple iPhone 13 Pro 128 GB Blue,4 GB,600000,Ikeja,Lagos State,Used
Samsung Galaxy A72 5G 128 GB Black,4 GB,135000,Wuse 2,Abuja (FCT) State,Used
Samsung Galaxy J5 16 GB Silver,4 GB,27000,Awka,Anambra State,Used
Infinix Hot 12i 64 GB Blue,4 GB,67000,Onitsha,Anambra State,Used
Infinix S5 Pro 64 GB Green,4 GB,65000,Awka,Anambra State,Used
Infinix Note 11i 64 GB Gray,4 GB,80000,Awka,Anambra State,Used
Samsung Galaxy A51 128 GB Black,4 GB,95000,Wuse 2,Abuja (FCT) State,Used
New Google Pixel 7 Pro 256 GB White,2 GB,620000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 9 128 GB Blue,2 GB,135000,Alimosho,Lagos State,Used
Samsung Galaxy Note 8 128 GB Blue,2 GB,115000,Alimosho,Lagos State,Used
Apple iPhone 6 64 GB Silver,2 GB,52000,Ikeja,Lagos State,Used
Apple iPhone 13 Pro Max 256 GB Gray,2 GB,770000,Ikeja,Lagos State,Used
New Apple iPhone 14 Pro 256 GB Gold,2 GB,500000,Ikeja,Lagos State,Brand New
New Apple iPhone 11 128 GB Red,2 GB,300000,Ikeja,Lagos State,Brand New
Apple iPhone 11 64 GB Red,2 GB,215000,Ibadan,Oyo State,Used
Apple iPhone 7 128 GB Gold,2 GB,60000,Ikeja,Lagos State,Used
Samsung Galaxy J5 16 GB White,2 GB,27000,Onitsha,Anambra State,Used
Huawei Mate S Dual SIM 32 GB Silver,2 GB,38000,Ikeja,Lagos State,Used
New Huawei Mate 50 Pro 256 GB Black,2 GB,670000,Ikeja,Lagos State,Brand New
Samsung Galaxy A20s 64 GB Red,2 GB,60000,Ahoada,Rivers State,Used
ZTE Blade 611T/ A611 32 GB,2 GB,35000,Ikeja,Lagos State,Used
Infinix Hot 12i 64 GB Green,2 GB,67000,Wuse 2,Abuja (FCT) State,Used
Infinix Note 10 Pro 128 GB Silver,2 GB,105000,Onitsha,Anambra State,Used
Apple iPhone 13 Pro 128 GB Green,2 GB,580000,Ikeja,Lagos State,Used
Infinix Note 11 128 GB Black,2 GB,95000,Onitsha,Anambra State,Used
Apple iPhone XR 64 GB Red,2 GB,175000,Wuse,Abuja (FCT) State,Used
Apple iPhone 6s 64 GB Silver,2 GB,50000,Ikorodu,Lagos State,Used
Infinix Zero X 128 GB Blue,2 GB,120000,Onitsha,Anambra State,Used
Infinix Note 10 Pro 128 GB Rose Gold,2 GB,105000,Awka,Anambra State,Used
Apple iPhone 7 128 GB Gold,2 GB,80000,Ikeja,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,6 GB,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,6 GB,380000,Ikeja,Lagos State,Brand New
New Apple iPhone 14 256 GB Purple,6 GB,580000,Ikeja,Lagos State,Brand New
New Apple iPhone 13 Pro Max 128 GB Green,6 GB,690000,Ikeja,Lagos State,Brand New
New Apple iPhone 13 Pro Max 1 TB Green,6 GB,899000,Ikeja,Lagos State,Brand New
New Apple iPhone 14 Pro 256 GB Black,6 GB,920000,Wuse 2,Abuja (FCT) State,Brand New
Honor 9 Lite 64 GB Bronze,6 GB,37000,Ikeja,Lagos State,Used
Apple iPhone 11 128 GB Black,6 GB,229999,Ikeja,Lagos State,Used
Infinix Hot 10 64 GB Blue,6 GB,70000,Ede,Osun State,Used
Infinix Smart 5 32 GB Green,6 GB,45000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 7 Plus 32 GB Silver,6 GB,100000,Ikeja,Lagos State,Used
Infinix Note 11 128 GB Gray,6 GB,95000,Awka,Anambra State,Used
Infinix Note 12 128 GB Blue,6 GB,120000,Onitsha,Anambra State,Used
Apple iPhone 11 Pro Max 64 GB White,6 GB,370000,Wuse,Abuja (FCT) State,Used
New Apple iPhone 13 128 GB Green,6 GB,630000,Wuse,Abuja (FCT) State,Brand New
Apple iPhone 12 Pro Max 256 GB Blue,6 GB,450000,Ikeja,Lagos State,Used
Apple iPhone X 64 GB Black,6 GB,150000,Ikeja,Lagos State,Used
Apple iPhone 7 32 GB Silver,6 GB,70000,Ikeja,Lagos State,Used
Apple iPhone XR 64 GB Blue,6 GB,155000,Owerri,Imo State,Used
ZTE V0840 16 GB,6 GB,35000,Ikeja,Lagos State,Used
Vivo Y20 64 GB,6 GB,47000,Ede,Osun State,Used
New Tecno Spark 8P 128 GB,6 GB,95000,Wuse 2,Abuja (FCT) State,Brand New
Samsung Galaxy S9 64 GB Black,6 GB,95000,Ilorin South,Kwara State,Used
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
Samsung Galaxy Note 8 128 GB Blue,NA,115000,Alimosho,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
Apple iPhone X 256 GB Black,NA,180000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Purple,NA,240000,Ikeja,Lagos State,Used
New Doogee X96 Pro 64 GB Green,NA,83000,Ikeja,Lagos State,Brand New
Apple iPhone 11 Pro 64 GB Gray,NA,270000,Ikeja,Lagos State,Used
Apple iPhone XS Max 64 GB Gold,NA,220000,Ikeja,Lagos State,Used
Apple iPhone 12 Pro Max 128 GB Black,NA,420000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Black,NA,220000,Ikeja,Lagos State,Used
Apple iPhone 13 128 GB Black,NA,470000,Port-Harcourt,Rivers State,Used
Apple iPhone 8 Plus 64 GB Gold,NA,130000,Ikeja,Lagos State,Used
New Mobile Phone 16 GB Black,NA,25000,Benin City,Edo State,Brand New
Apple iPhone 7 32 GB Black,NA,75000,Ibadan,Oyo State,Used
Samsung Galaxy S8 64 GB Black,NA,80000,Yaba,Lagos State,Used
Apple iPhone 11 Pro Max 256 GB Gold,NA,345000,Ikeja,Lagos State,Used
Apple iPhone XR 64 GB Yellow,NA,160000,Port-Harcourt,Rivers State,Used
Apple iPhone 11 Pro Max 256 GB Gray,NA,400000,Port-Harcourt,Rivers State,Used
New Vivo V25 256 GB,NA,300000,Ikeja,Lagos State,Brand New
Apple iPhone 11 Pro Max 64 GB Gray,NA,325000,Ibadan,Oyo State,Used
Apple iPhone 11 Pro Max 64 GB Black,NA,325000,Ikeja,Lagos State,Used
Apple iPhone 7 128 GB Gold,NA,80000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB White,NA,230000,Egbeda,Oyo State,Used
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
Samsung Galaxy Note 8 128 GB Blue,NA,115000,Alimosho,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
Apple iPhone 11 128 GB Purple,NA,290000,Ikeja,Lagos State,Used
New Apple iPhone 11 128 GB Red,NA,340000,Ikeja,Lagos State,Brand New
New Apple iPhone 14 Pro Max 128 GB Silver,NA,900000,Ikeja,Lagos State,Brand New
Apple iPhone 12 Pro 128 GB Blue,NA,465000,Lekki,Lagos State,Used
Apple iPhone XS Max 64 GB Black,NA,225000,Zuba,Abuja (FCT) State,Used
Apple iPhone XR 64 GB Yellow,NA,165000,Ikeja,Lagos State,Used
Samsung Galaxy J5 16 GB Black,NA,25000,Ikeja,Lagos State,Used
Apple iPhone X 64 GB White,NA,150000,Ikeja,Lagos State,Used
Apple iPhone 12 Pro Max 256 GB White,NA,465000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Red,NA,230000,Lagelu,Oyo State,Used
Apple iPhone X 64 GB White,NA,155000,Ikeja,Lagos State,Used
New Apple iPhone 7 Plus 32 GB Red,NA,115000,Ibadan,Oyo State,Brand New
Apple iPhone 7 128 GB Black,NA,86500,Port-Harcourt,Rivers State,Used
Apple iPhone XS Max 256 GB Gold,NA,230000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 11 Pro 64 GB Gray,NA,290000,Ikeja,Lagos State,Used
Sony Xperia XZ Premium 64 GB Black,NA,75000,Alimosho,Lagos State,Used
Apple iPhone 12 64 GB Purple,NA,305000,Ibadan,Oyo State,Used
Apple iPhone XR 128 GB Orange,NA,185000,Ikeja,Lagos State,Used
Apple iPhone 11 Pro Max 256 GB White,NA,375000,Ikeja,Lagos State,Used
Apple iPhone 12 Pro Max 256 GB Gray,NA,550000,Anambra East,Anambra State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,NA,380000,Ikeja,Lagos State,Brand New
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
Apple iPhone 11 64 GB Black,NA,230000,Ikeja,Lagos State,Used
Apple iPhone 13 128 GB Red,NA,460000,Ikeja,Lagos State,Used
Apple iPhone 7 128 GB Black,NA,80000,Alimosho,Lagos State,Used
Apple iPhone XR 64 GB,NA,165000,Ikeja,Lagos State,Used
Apple iPhone 11 Pro 64 GB Gold,NA,270000,Port-Harcourt,Rivers State,Used
Apple iPhone 13 Pro 128 GB White,NA,570000,Ikeja,Lagos State,Used
Apple iPhone 7 Plus 256 GB Gold,NA,110000,Enugu,Enugu State,Used
Apple iPhone 6s 32 GB Silver,NA,55000,Ikeja,Lagos State,Used
Apple iPhone XR 64 GB Black,NA,175000,Ikeja,Lagos State,Used
Apple iPhone 11 Pro Max 256 GB Black,NA,360000,Ibadan,Oyo State,Used
Apple iPhone XS Max 64 GB Gold,NA,215000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB White,NA,230000,Ikeja,Lagos State,Used
Apple iPhone 11 128 GB Purple,NA,260000,Ikeja,Lagos State,Used
Apple iPhone XS Max 256 GB Gray,NA,245000,Owerri,Imo State,Used
Apple iPhone XS Max 64 GB Gold,NA,228000,Ibadan,Oyo State,Used
Apple iPhone 7 Plus 32 GB Red,NA,108000,Lagelu,Oyo State,Used
Apple iPhone 12 64 GB White,NA,325000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Green,NA,270000,Ikeja,Lagos State,Used
Apple iPhone 11 128 GB Black,NA,245000,Ikeja,Lagos State,Used
Apple iPhone 11 Pro Max 64 GB Gold,NA,330000,Oluyole,Oyo State,Used
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
Samsung Galaxy Note 8 128 GB Blue,NA,115000,Alimosho,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
Apple iPhone 6s 32 GB Silver,NA,57000,Gbagada,Lagos State,Used
New Apple iPhone 13 Pro Max 256 GB Black,NA,750000,Ikeja,Lagos State,Brand New
Google Pixel 6 Pro 128 GB Black,NA,315000,Ikeja,Lagos State,Used
Apple iPhone 6s 64 GB Orange,NA,55000,Gbagada,Lagos State,Used
New Iridium 9555 4 GB Black,NA,699999,Ikeja,Lagos State,Brand New
Apple iPhone 11 Pro Max 64 GB Gold,NA,330000,Oluyole,Oyo State,Used
Apple iPhone 11 128 GB Red,NA,265000,Alimosho,Lagos State,Used
Apple iPhone XS 64 GB Black,NA,165000,Ikeja,Lagos State,Used
Apple iPhone XS Max 64 GB Gold,NA,205000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone XS 64 GB Gold,NA,170000,Port-Harcourt,Rivers State,Used
Apple iPhone X 64 GB Black,NA,158000,Akinyele,Oyo State,Used
Apple iPhone 7 Plus 128 GB Silver,NA,100000,Eket,Akwa Ibom State,Used
Apple iPhone 12 Pro Max 256 GB Blue,NA,600000,Wuse,Abuja (FCT) State,Used
Apple iPhone XR 64 GB Blue,NA,160000,Port-Harcourt,Rivers State,Used
Apple iPhone 7 Plus 32 GB Red,NA,80000,Ondo / Ondo State,Ondo State,Used
Apple iPhone XR 64 GB Red,NA,165000,Ikeja,Lagos State,Used
Apple iPhone 11 Pro 64 GB Green,NA,290000,Ikeja,Lagos State,Used
Apple iPhone 7 32 GB Rose Gold,NA,75000,Ikeja,Lagos State,Used
Apple iPhone 6 64 GB Silver,NA,58000,Ibadan,Oyo State,Used
Apple iPhone 11 128 GB White,NA,285000,Ikeja,Lagos State,Used
